sample,time,code,chan
75153,36.69580078125,4,-1
76421,37.31494140625,138,left
76534,37.3701171875,60,-1
76579,37.39208984375,148,left
76660,37.431640625,138,left
76769,37.48486328125,148,left
82526,40.2958984375,4,-1
83331,40.68896484375,138,left
83419,40.73193359375,60,-1
83474,40.7587890625,148,left
83521,40.78173828125,138,left
83692,40.865234375,148,left
102801,50.19580078125,4,-1
103596,50.583984375,138,left
103676,50.623046875,60,-1
103772,50.669921875,148,left
103828,50.697265625,138,left
103952,50.7578125,148,left
104348,50.951171875,138,left
104381,50.96728515625,148,left
109661,53.54541015625,4,-1
110202,53.8095703125,138,left
110288,53.8515625,148,left
110325,53.86962890625,138,left
110367,53.89013671875,60,-1
110511,53.96044921875,148,left
111025,54.21142578125,138,left
111055,54.22607421875,148,left
116351,56.81201171875,16,-1
117077,57.16650390625,138,right
117192,57.22265625,112,-1
117297,57.27392578125,148,right
117625,57.43408203125,138,left
117708,57.474609375,148,left
123178,60.1455078125,16.0,-1.0
123675,60.38818359375,138,right
123769,60.43408203125,112.0,-1.0
123900,60.498046875,148,right
129766,63.3623046875,4,-1
130470,63.7060546875,138,left
130635,63.78662109375,60,-1
130736,63.8359375,148,left
130785,63.85986328125,138,left
130864,63.8984375,148,left
136626,66.7119140625,16,-1
137287,67.03466796875,138,right
137403,67.09130859375,112,-1
137455,67.11669921875,148,right
139405,68.06884765625,138,left
139591,68.15966796875,148,left
143384,70.01171875,4,-1
143778,70.2041015625,138,left
143914,70.2705078125,148,left
144007,70.31591796875,138,left
144077,70.35009765625,60,-1
144147,70.38427734375,148,left
150075,73.27880859375,4,-1
150667,73.56787109375,138,left
150765,73.61572265625,60,-1
150810,73.6376953125,148,left
150903,73.68310546875,138,left
151069,73.76416015625,148,left
151601,74.02392578125,138,left
151646,74.0458984375,148,left
156765,76.54541015625,8.0,-1.0
157461,76.88525390625,138,right
157498,76.9033203125,120.0,-1.0
157596,76.951171875,148,right
163489,79.82861328125,4,-1
163943,80.05029296875,138,left
164136,80.14453125,60,-1
164209,80.18017578125,148,left
164296,80.22265625,138,left
164410,80.2783203125,148,left
170145,83.07861328125,16.0,-1.0
170734,83.3662109375,138,right
170863,83.42919921875,112.0,-1.0
170954,83.4736328125,148,right
176869,86.36181640625,8.0,-1.0
177571,86.70458984375,138,right
177635,86.73583984375,148,right
177709,86.77197265625,138,right
177756,86.794921875,120.0,-1.0
177819,86.82568359375,148,right
183764,89.728515625,8.0,-1.0
184173,89.92822265625,138,right
184329,90.00439453125,148,right
184337,90.00830078125,120.0,-1.0
184377,90.02783203125,138,right
184525,90.10009765625,148,right
197041,96.21142578125,4,-1
197479,96.42529296875,138,right
197608,96.48828125,148,right
197939,96.64990234375,138,left
198003,96.68115234375,60,-1
198090,96.7236328125,148,left
198161,96.75830078125,138,left
198291,96.82177734375,148,left
198714,97.0283203125,138,left
198775,97.05810546875,148,left
198844,97.091796875,138,left
198922,97.1298828125,148,left
204004,99.611328125,8.0,-1.0
204573,99.88916015625,138,right
204723,99.96240234375,120.0,-1.0
204843,100.02099609375,148,right
210728,102.89453125,16.0,-1.0
211095,103.07373046875,138,right
211324,103.185546875,112.0,-1.0
211472,103.2578125,148,right
230901,112.74462890625,8,-1
231304,112.94140625,138,left
231427,113.00146484375,148,left
231623,113.09716796875,138,right
231740,113.154296875,148,right
231757,113.16259765625,120,-1
231890,113.2275390625,138,right
231981,113.27197265625,148,right
232062,113.3115234375,138,right
232355,113.45458984375,148,right
232653,113.60009765625,138,right
232757,113.65087890625,148,right
232875,113.70849609375,138,right
232970,113.7548828125,148,right
233048,113.79296875,138,right
233174,113.8544921875,148,right
233274,113.9033203125,138,right
233372,113.951171875,148,right
233748,114.134765625,138,right
233880,114.19921875,148,right
237762,116.0947265625,4,-1
238538,116.4736328125,138,left
238709,116.55712890625,60,-1
238810,116.6064453125,148,left
238978,116.6884765625,138,left
239098,116.7470703125,148,left
239152,116.7734375,138,left
239383,116.88623046875,148,left
251551,122.82763671875,16.0,-1.0
252087,123.08935546875,138,right
252221,123.15478515625,112.0,-1.0
252337,123.21142578125,148,right
253046,123.5576171875,192.0,-1.0
258207,126.07763671875,16.0,-1.0
258639,126.28857421875,138,right
258733,126.33447265625,112.0,-1.0
258867,126.39990234375,148,right
259557,126.73681640625,192.0,-1.0
271485,132.56103515625,16.0,-1.0
271895,132.76123046875,138,right
271981,132.80322265625,148,right
272001,132.81298828125,112.0,-1.0
272068,132.845703125,138,right
272233,132.92626953125,148,right
272825,133.21533203125,192.0,-1.0
278004,135.744140625,16.0,-1.0
278668,136.068359375,138,right
278759,136.11279296875,112.0,-1.0
278857,136.16064453125,148,right
278907,136.18505859375,138,right
278998,136.2294921875,148,right
279583,136.51513671875,192.0,-1.0
284762,139.0439453125,16.0,-1.0
285152,139.234375,138,right
285286,139.2998046875,112.0,-1.0
285494,139.4013671875,148,right
286110,139.7021484375,192.0,-1.0
291282,142.2275390625,4,-1
291945,142.55126953125,138,left
292043,142.59912109375,60,-1
292093,142.62353515625,148,left
292148,142.650390625,138,left
292326,142.7373046875,148,left
292388,142.767578125,138,left
292468,142.806640625,148,left
292701,142.92041015625,138,left
292798,142.9677734375,148,left
292868,143.001953125,192,-1
298040,145.52734375,16.0,-1.0
298372,145.689453125,138,right
298434,145.7197265625,148,right
298475,145.73974609375,138,right
298544,145.7734375,112.0,-1.0
298600,145.80078125,148,right
298652,145.826171875,138,right
298759,145.87841796875,148,right
299368,146.17578125,192.0,-1.0
318110,155.3271484375,8,-1
318520,155.52734375,138,left
318634,155.5830078125,148,left
318753,155.64111328125,138,right
318875,155.70068359375,120,-1
318915,155.72021484375,148,right
318955,155.73974609375,138,right
319089,155.80517578125,148,right
319699,156.10302734375,192,-1
324868,158.626953125,16.0,-1.0
325443,158.90771484375,138,right
325513,158.94189453125,148,right
325584,158.9765625,138,right
325652,159.009765625,112.0,-1.0
325695,159.03076171875,148,right
325769,159.06689453125,138,right
325876,159.119140625,148,right
331661,161.94384765625,4,-1
332163,162.18896484375,138,left
332295,162.25341796875,60,-1
332481,162.34423828125,148,left
333119,162.65576171875,192,-1
345041,168.47705078125,16.0,-1.0
345727,168.81201171875,138,right
345810,168.8525390625,112.0,-1.0
346051,168.97021484375,148,right
346634,169.2548828125,192.0,-1.0
351799,171.77685546875,8,-1
352240,171.9921875,138,left
352423,172.08154296875,148,left
352536,172.13671875,138,right
352657,172.19580078125,148,right
352695,172.21435546875,120,-1
352697,172.21533203125,138,right
352968,172.34765625,148,right
358694,175.1435546875,4,-1
359296,175.4375,138,left
359481,175.52783203125,60,-1
359654,175.6123046875,148,left
359823,175.69482421875,138,left
359920,175.7421875,148,left
361249,176.39111328125,138,right
361280,176.40625,148,right
365486,178.4599609375,8.0,-1.0
365965,178.69384765625,138,right
366091,178.75537109375,148,right
366176,178.796875,138,right
366244,178.830078125,120.0,-1.0
366350,178.8818359375,148,right
367068,179.232421875,192.0,-1.0
372245,181.76025390625,8,-1
372836,182.048828125,138,left
372886,182.0732421875,148,left
372995,182.12646484375,138,right
373073,182.16455078125,120,-1
373105,182.18017578125,148,right
373151,182.20263671875,138,right
373303,182.27685546875,148,right
379071,185.09326171875,4,-1
379614,185.3583984375,138,right
379692,185.396484375,148,right
379782,185.4404296875,138,left
379945,185.52001953125,60,-1
380151,185.62060546875,148,left
380363,185.72412109375,138,left
380448,185.765625,148,left
380662,185.8701171875,138,left
380716,185.896484375,148,left
399448,195.04296875,16.0,-1.0
399810,195.2197265625,138,right
399969,195.29736328125,112.0,-1.0
400062,195.3427734375,148,right
400793,195.69970703125,192.0,-1.0
405968,198.2265625,8.0,-1.0
406541,198.50634765625,138,right
406704,198.5859375,120.0,-1.0
406792,198.62890625,148,right
407528,198.98828125,192.0,-1.0
419348,204.759765625,8,-1
419827,204.99365234375,138,left
419927,205.04248046875,148,left
420070,205.1123046875,138,right
420159,205.15576171875,120,-1
420161,205.15673828125,138,left
420186,205.1689453125,148,right
420282,205.2158203125,148,left
420298,205.2236328125,138,right
420423,205.28466796875,148,right
420505,205.32470703125,138,right
420589,205.36572265625,148,right
420695,205.41748046875,138,right
420762,205.4501953125,148,right
421112,205.62109375,138,right
421198,205.6630859375,148,right
421285,205.70556640625,138,right
421352,205.73828125,148,right
426140,208.076171875,8.0,-1.0
426709,208.35400390625,138,right
426815,208.40576171875,120.0,-1.0
427030,208.5107421875,148,right
427639,208.80810546875,192.0,-1.0
439725,214.70947265625,8.0,-1.0
440485,215.08056640625,138,right
440593,215.13330078125,120.0,-1.0
440806,215.2373046875,148,right
453412,221.392578125,4,-1
453975,221.66748046875,138,right
454105,221.73095703125,148,right
454155,221.75537109375,138,left
454352,221.8515625,60,-1
454435,221.89208984375,148,left
454475,221.91162109375,138,left
454602,221.9736328125,148,left
460341,224.77587890625,8.0,-1.0
460699,224.95068359375,138,right
460880,225.0390625,120.0,-1.0
461024,225.109375,148,right
461705,225.44189453125,192.0,-1.0
466895,227.97607421875,8.0,-1.0
467427,228.23583984375,138,right
467567,228.30419921875,120.0,-1.0
467717,228.37744140625,148,right
468391,228.70654296875,192.0,-1.0
473585,231.24267578125,16.0,-1.0
474243,231.56396484375,138,right
474335,231.60888671875,112.0,-1.0
474476,231.677734375,148,right
475159,232.01123046875,192.0,-1.0
480343,234.54248046875,8.0,-1.0
480884,234.806640625,138,right
480998,234.8623046875,120.0,-1.0
481162,234.9423828125,148,right
481822,235.2646484375,192.0,-1.0
486999,237.79248046875,16.0,-1.0
487457,238.01611328125,138,right
487640,238.10546875,112.0,-1.0
487951,238.25732421875,148,right
488016,238.2890625,138,right
488100,238.330078125,148,right
488464,238.5078125,192.0,-1.0
500379,244.32568359375,4,-1
500972,244.615234375,138,left
501090,244.6728515625,148,left
501099,244.67724609375,60,-1
501163,244.70849609375,138,left
501281,244.76611328125,148,left
501725,244.98291015625,138,left
501754,244.9970703125,148,left
501923,245.07958984375,192,-1
627148,306.224609375,8,-1
627748,306.517578125,138,left
627883,306.58349609375,148,left
628056,306.66796875,138,right
628099,306.68896484375,120,-1
628381,306.82666015625,148,right
629256,307.25390625,138,left
629343,307.29638671875,148,left
629647,307.44482421875,138,right
629760,307.5,148,right
634111,309.62451171875,8.0,-1.0
634519,309.82373046875,138,right
634718,309.9208984375,120.0,-1.0
634940,310.029296875,148,right
640699,312.84130859375,4,-1
641308,313.138671875,138,left
641482,313.2236328125,60,-1
641578,313.2705078125,148,left
647491,316.15771484375,4,-1
648228,316.517578125,138,left
648347,316.57568359375,148,left
648392,316.59765625,138,left
648413,316.60791015625,60,-1
648579,316.68896484375,148,left
648605,316.70166015625,138,left
648645,316.72119140625,148,left
654420,319.541015625,4,-1
655029,319.83837890625,138,left
655125,319.88525390625,60,-1
655307,319.97412109375,148,left
655468,320.052734375,138,left
655597,320.11572265625,148,left
655775,320.20263671875,138,right
655810,320.2197265625,148,right
661110,322.8076171875,16,-1
661662,323.0771484375,138,right
661783,323.13623046875,112,-1
661866,323.1767578125,148,right
661871,323.17919921875,138,left
661911,323.19873046875,148,left
667766,326.0576171875,8.0,-1.0
668350,326.3427734375,138,right
668442,326.3876953125,120.0,-1.0
668610,326.4697265625,148,right
674422,329.3076171875,4,-1
675101,329.63916015625,138,left
675280,329.7265625,60,-1
675404,329.787109375,148,left
675738,329.9501953125,138,left
675856,330.0078125,148,left
688075,335.97412109375,16.0,-1.0
688667,336.26318359375,138,right
688761,336.30908203125,112.0,-1.0
688984,336.41796875,148,right
694765,339.24072265625,16.0,-1.0
695211,339.45849609375,138,right
695344,339.5234375,112.0,-1.0
695527,339.61279296875,148,right
701353,342.45751953125,4,-1
701840,342.6953125,138,right
701945,342.74658203125,138,left
701945,342.74658203125,148,right
702018,342.7822265625,148,left
702060,342.802734375,138,left
702158,342.8505859375,60,-1
702236,342.888671875,148,left
702276,342.908203125,138,left
702380,342.958984375,148,left
708145,345.77392578125,8,-1
708729,346.05908203125,138,left
708817,346.10205078125,148,left
708959,346.17138671875,138,right
709035,346.20849609375,120,-1
709302,346.3388671875,148,right
709367,346.37060546875,138,right
709485,346.42822265625,148,right
709554,346.4619140625,138,right
709658,346.5126953125,148,right
709823,346.59326171875,138,right
709866,346.6142578125,148,right
710186,346.7705078125,138,right
710245,346.79931640625,148,right
715040,349.140625,4,-1
715670,349.4482421875,138,left
715806,349.5146484375,60,-1
716023,349.62060546875,148,left
721798,352.4404296875,4,-1
722566,352.8154296875,138,left
722671,352.86669921875,148,left
722700,352.880859375,60,-1
722725,352.89306640625,138,left
723073,353.06298828125,148,left
723147,353.09912109375,138,left
723289,353.16845703125,148,left
742141,362.37353515625,4,-1
742538,362.5673828125,138,right
742627,362.61083984375,148,right
742829,362.70947265625,138,left
742985,362.78564453125,60,-1
743258,362.9189453125,148,left
743421,362.99853515625,138,left
743521,363.04736328125,148,left
762416,372.2734375,4,-1
762474,372.3017578125,138,right
762492,372.310546875,148,right
763051,372.58349609375,138,left
763184,372.6484375,60,-1
763412,372.759765625,148,left
763954,373.0244140625,138,left
764006,373.0498046875,148,left
769174,375.5732421875,16,-1
769709,375.83447265625,138,left
769737,375.84814453125,148,left
769982,375.9677734375,138,right
770028,375.990234375,148,right
770069,376.01025390625,138,right
770164,376.056640625,112,-1
770455,376.19873046875,148,right
776172,378.990234375,16.0,-1.0
776786,379.2900390625,138,right
776898,379.3447265625,112.0,-1.0
777044,379.416015625,148,right
777722,379.7470703125,192.0,-1.0
782896,382.2734375,4,-1
783306,382.4736328125,138,left
783513,382.57470703125,60,-1
783835,382.73193359375,148,left
784338,382.9775390625,192,-1
789518,385.5068359375,16.0,-1.0
790139,385.81005859375,138,right
790273,385.87548828125,112.0,-1.0
790539,386.00537109375,148,right
791098,386.2783203125,192.0,-1.0
796276,388.806640625,16.0,-1.0
796785,389.05517578125,138,right
796870,389.0966796875,112.0,-1.0
797118,389.2177734375,148,right
797694,389.4990234375,192.0,-1.0
802863,392.02294921875,4,-1
803613,392.38916015625,138,left
803734,392.4482421875,60,-1
804026,392.5908203125,148,left
816960,398.90625,16.0,-1.0
817467,399.15380859375,138,right
817600,399.21875,112.0,-1.0
817757,399.29541015625,148,right
818424,399.62109375,192.0,-1.0
823616,402.15625,8,-1
824110,402.3974609375,138,left
824225,402.45361328125,148,left
824357,402.51806640625,138,right
824432,402.5546875,120,-1
824494,402.5849609375,148,right
824527,402.60107421875,138,right
824688,402.6796875,148,right
830443,405.48974609375,8,-1
830959,405.74169921875,138,left
831013,405.76806640625,148,left
831187,405.85302734375,138,right
831256,405.88671875,120,-1
831467,405.98974609375,148,right
837269,408.82275390625,16.0,-1.0
837994,409.1767578125,138,right
838062,409.2099609375,112.0,-1.0
838131,409.24365234375,148,right
838171,409.26318359375,138,right
838312,409.33203125,148,right
844062,412.1396484375,4,-1
844797,412.49853515625,138,left
844979,412.58740234375,60,-1
845159,412.67529296875,148,left
845579,412.88037109375,138,left
845667,412.92333984375,148,left
846458,413.3095703125,138,left
846485,413.32275390625,148,left
850991,415.52294921875,8.0,-1.0
851765,415.90087890625,138,right
851879,415.95654296875,120.0,-1.0
852041,416.03564453125,148,right
857885,418.88916015625,16.0,-1.0
858418,419.1494140625,138,right
858514,419.1962890625,112.0,-1.0
858705,419.28955078125,148,right
859338,419.5986328125,192.0,-1.0
871368,425.47265625,8.0,-1.0
872091,425.82568359375,138,right
872178,425.8681640625,120.0,-1.0
872392,425.97265625,148,right
878160,428.7890625,16.0,-1.0
878718,429.0615234375,138,right
878795,429.09912109375,112.0,-1.0
879045,429.22119140625,148,right
879619,429.50146484375,192.0,-1.0
884782,432.0224609375,8.0,-1.0
885213,432.23291015625,138,right
885340,432.294921875,148,right
885378,432.3134765625,138,right
885436,432.341796875,120.0,-1.0
885747,432.49365234375,148,right
886261,432.74462890625,192.0,-1.0
891438,435.2724609375,4,-1
892095,435.59326171875,138,left
892227,435.65771484375,60,-1
892445,435.76416015625,148,left
898230,438.5888671875,8.0,-1.0
898837,438.88525390625,138,right
898955,438.94287109375,120.0,-1.0
899098,439.0126953125,148,right
899779,439.34521484375,192.0,-1.0
904955,441.87255859375,8.0,-1.0
905353,442.06689453125,138,right
905476,442.126953125,148,right
905576,442.17578125,138,right
905645,442.20947265625,120.0,-1.0
905695,442.23388671875,148,right
905733,442.25244140625,138,right
905877,442.32275390625,148,right
906469,442.61181640625,192.0,-1.0
911645,445.13916015625,8.0,-1.0
912118,445.3701171875,138,right
912253,445.43603515625,120.0,-1.0
912450,445.5322265625,148,right
913077,445.83837890625,192.0,-1.0
931885,455.02197265625,4,-1
932588,455.365234375,138,left
932694,455.4169921875,60,-1
932906,455.5205078125,148,left
933376,455.75,138,left
933478,455.7998046875,148,left
933660,455.888671875,138,left
933705,455.91064453125,148,left
938678,458.3388671875,4,-1
939488,458.734375,138,left
939629,458.80322265625,60,-1
939811,458.89208984375,148,left
940187,459.07568359375,138,left
940252,459.107421875,148,left
940632,459.29296875,138,left
940682,459.3173828125,148,left
945641,461.73876953125,8.0,-1.0
946268,462.044921875,138,right
946387,462.10302734375,120.0,-1.0
946528,462.171875,148,right
946702,462.2568359375,138,right
946726,462.2685546875,148,right
947211,462.50537109375,192.0,-1.0
966189,471.77197265625,8.0,-1.0
966876,472.107421875,138,right
966999,472.16748046875,120.0,-1.0
967178,472.2548828125,148,right
972981,475.08837890625,16.0,-1.0
973656,475.41796875,138,right
973769,475.47314453125,112.0,-1.0
973963,475.56787109375,148,right
974593,475.87548828125,192.0,-1.0
979774,478.4052734375,8.0,-1.0
980422,478.7216796875,138,right
980482,478.7509765625,148,right
980516,478.767578125,120.0,-1.0
980557,478.78759765625,138,right
980670,478.8427734375,148,right
980730,478.8720703125,138,right
980817,478.91455078125,148,right
981340,479.169921875,192.0,-1.0
993222,484.9716796875,4,-1
993949,485.32666015625,138,left
994012,485.357421875,148,left
994092,485.396484375,138,left
994167,485.43310546875,60,-1
994320,485.5078125,148,left
1000151,488.35498046875,16.0,-1.0
1000789,488.66650390625,138,right
1000874,488.7080078125,112.0,-1.0
1001101,488.81884765625,148,right
1001699,489.11083984375,192.0,-1.0
1013702,494.9716796875,8.0,-1.0
1014086,495.1591796875,138,right
1014242,495.2353515625,148,right
1014287,495.25732421875,138,right
1014357,495.29150390625,120.0,-1.0
1014599,495.40966796875,148,right
1015182,495.6943359375,192.0,-1.0
1027184,501.5546875,16.0,-1.0
1027585,501.75048828125,138,right
1027759,501.83544921875,112.0,-1.0
1027872,501.890625,148,right
1028583,502.23779296875,192.0,-1.0
1033772,504.771484375,16.0,-1.0
1034181,504.97119140625,138,right
1034298,505.0283203125,112.0,-1.0
1034493,505.12353515625,148,right
1035122,505.4306640625,192.0,-1.0
1047152,511.3046875,16.0,-1.0
1047521,511.48486328125,138,right
1047678,511.5615234375,112.0,-1.0
1047859,511.64990234375,148,right
1048502,511.9638671875,192.0,-1.0
1149243,561.15380859375,8.0,-1.0
1149928,561.48828125,138,right
1150037,561.54150390625,120.0,-1.0
1150331,561.68505859375,148,right
1156035,564.47021484375,8.0,-1.0
1156571,564.73193359375,138,right
1156697,564.79345703125,120.0,-1.0
1156833,564.85986328125,148,right
1169313,570.95361328125,8,-1
1169718,571.1513671875,138,right
1169843,571.21240234375,120,-1
1170082,571.3291015625,148,right
1170878,571.7177734375,138,left
1170976,571.765625,148,left
1171240,571.89453125,138,left
1171352,571.94921875,148,left
1175832,574.13671875,4,-1
1176696,574.55859375,138,left
1176800,574.609375,60,-1
1176845,574.63134765625,148,left
1176878,574.6474609375,138,left
1177053,574.73291015625,148,left
1189758,580.9365234375,4,-1
1190511,581.30419921875,138,left
1190619,581.35693359375,60,-1
1190828,581.458984375,148,left
1190893,581.49072265625,138,left
1191042,581.5634765625,148,left
1209931,590.78662109375,16.0,-1.0
1210746,591.1845703125,138,right
1210868,591.244140625,112.0,-1.0
1211052,591.333984375,148,right
1216860,594.169921875,4,-1
1217458,594.4619140625,138,right
1217510,594.4873046875,148,right
1217684,594.572265625,138,left
1217787,594.62255859375,148,left
1217930,594.6923828125,138,left
1218049,594.75048828125,60,-1
1218229,594.83837890625,148,left
1224028,597.669921875,4,-1
1224561,597.93017578125,138,right
1224670,597.9833984375,148,right
1224847,598.06982421875,138,left
1224994,598.1416015625,60,-1
1225175,598.22998046875,148,left
1230991,601.06982421875,8.0,-1.0
1231525,601.33056640625,138,right
1231637,601.38525390625,120.0,-1.0
1231814,601.4716796875,148,right
1237647,604.31982421875,4,-1
1238453,604.71337890625,138,left
1238541,604.75634765625,60,-1
1238617,604.79345703125,148,left
1244541,607.68603515625,16.0,-1.0
1245250,608.0322265625,138,right
1245398,608.1044921875,112.0,-1.0
1245520,608.1640625,148,right
1250378,610.5361328125,138,left
1250389,610.54150390625,148,left
1251402,611.0361328125,16,-1
1251933,611.29541015625,138,right
1252049,611.35205078125,112,-1
1252241,611.44580078125,148,right
1258058,614.2861328125,8,-1
1258586,614.5439453125,138,left
1258701,614.60009765625,148,left
1258841,614.66845703125,138,left
1258986,614.7392578125,148,left
1259285,614.88525390625,138,right
1259323,614.90380859375,138,left
1259381,614.93212890625,148,left
1259399,614.94091796875,120,-1
1259688,615.08203125,148,right
1260935,615.69091796875,138,right
1261024,615.734375,148,right
1272223,621.20263671875,16.0,-1.0
1272897,621.53173828125,138,right
1273028,621.595703125,112.0,-1.0
1273186,621.6728515625,148,right
1279016,624.51953125,4,-1
1279763,624.88427734375,138,left
1279908,624.955078125,60,-1
1280056,625.02734375,148,left
1292532,631.119140625,16.0,-1.0
1293091,631.39208984375,138,right
1293237,631.46337890625,112.0,-1.0
1293360,631.5234375,148,right
1294061,631.86572265625,192.0,-1.0
1298890,634.2236328125,138,left
1299005,634.27978515625,148,left
1299222,634.3857421875,8,-1
1299874,634.7041015625,138,right
1299954,634.7431640625,120,-1
1300213,634.86962890625,148,right
1300778,635.1455078125,192,-1
1320180,644.619140625,16.0,-1.0
1320566,644.8076171875,138,right
1320704,644.875,148,right
1320774,644.9091796875,138,right
1320873,644.95751953125,112.0,-1.0
1321013,645.02587890625,148,right
1321697,645.35986328125,192.0,-1.0
1326870,647.8857421875,8,-1
1327433,648.16064453125,138,right
1327567,648.22607421875,120,-1
1327753,648.31689453125,148,right
1328391,648.62841796875,192,-1
1329637,649.23681640625,138,left
1329669,649.25244140625,148,left
1340386,654.4853515625,8.0,-1.0
1340932,654.751953125,138,right
1341075,654.82177734375,120.0,-1.0
1341212,654.888671875,148,right
1341899,655.22412109375,192.0,-1.0
1347076,657.751953125,8.0,-1.0
1347572,657.994140625,138,right
1347770,658.0908203125,120.0,-1.0
1347810,658.1103515625,148,right
1347855,658.13232421875,138,right
1347988,658.197265625,148,right
1348235,658.31787109375,138,right
1348275,658.33740234375,148,right
1348593,658.49267578125,138,right
1348594,658.4931640625,192.0,-1.0
1348716,658.552734375,148,right
1353766,661.0185546875,8.0,-1.0
1354427,661.34130859375,138,right
1354536,661.39453125,120.0,-1.0
1354699,661.47412109375,148,right
1355360,661.796875,192.0,-1.0
1360525,664.31884765625,4,-1
1361143,664.62060546875,138,left
1361251,664.67333984375,148,left
1361354,664.7236328125,138,left
1361481,664.78564453125,60,-1
1361708,664.896484375,148,left
1361855,664.96826171875,138,left
1361996,665.037109375,148,left
1367488,667.71875,8.0,-1.0
1368279,668.10498046875,138,right
1368457,668.19189453125,120.0,-1.0
1368571,668.24755859375,148,right
1368624,668.2734375,138,right
1368683,668.30224609375,148,right
1374451,671.11865234375,4,-1
1375554,671.6572265625,138,left
1375673,671.71533203125,148,left
1375687,671.72216796875,60,-1
1375718,671.7373046875,138,left
1375908,671.830078125,148,left
1381687,674.65185546875,16.0,-1.0
1382572,675.083984375,138,right
1382660,675.126953125,112.0,-1.0
1382923,675.25537109375,148,right
1388650,678.0517578125,4,-1
1389334,678.3857421875,138,right
1389400,678.41796875,148,right
1389403,678.41943359375,138,left
1389588,678.509765625,60,-1
1389859,678.64208984375,148,left
1390030,678.7255859375,138,right
1390117,678.76806640625,148,right
1395579,681.43505859375,8.0,-1.0
1396164,681.720703125,138,right
1396304,681.7890625,120.0,-1.0
1396454,681.8623046875,148,right
1397129,682.19189453125,192.0,-1.0
1402303,684.71826171875,16.0,-1.0
1402704,684.9140625,138,right
1402833,684.97705078125,112.0,-1.0
1403023,685.06982421875,148,right
